AC voltage grade,Rated power(VA),Battery voltage,Inverter voltage,Grid voltage,BUS voltage,Control current,Inverter current,Grid current,Battery voltage,PInverter,PGrid,PLoad,Load percent,SInverter,SGrid,Sload,Qinverter,Qgrid,Qload,Inverter frequency,Grid frequency,Inverter max number,Combine type,Inverter number,AC radiator temperature,Transformer temperature,DC radiator temperature,Batt power,Batt current,Batt voltage grade,Rated power(W),Communication Protocal Edition,PV voltage,Battery voltage,Charger current,Charger power,Radiator temperature,External temperature,BattVol Grade,Rated Current,MachineType,SerialNumber,Hardware,Software,ProtocalEdition,WorkState,InverterRelayState,GridRelayState,LoadRelayState,NLineRelayState,DcRelayState,EarthRelayState,AccumulatedChargerPower,AccumulatedDischargerPower,AccumulatedBuyPower,AccumulatedSellPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvsellPower,AccumulatedGridChargerPower,Errs,ChrWorkstate,MpptState,ChargingState,BatteryRelay,PvRelay,ChrHardware,ChrSoftware,AccumulatedPvPower,Id,RecordTime,
"120,10000,54,238,234,0,0,0,0,""5,7"",1512,0,1172,13,0,0,1374,0,0,0,60,60,0,0,0,27,0,0,156,2,48,10000,10414,184,""54,6"",""9,6"",539,41,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",303KWH,""116,6KWH"",0KWH,308KWH,0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,""693,4KWH"",1,13/1/2026 11:03:22,"
"120,10000,""54,1"",238,235,0,0,0,0,""5,3"",1320,0,1014,12,0,0,1068,0,0,0,60,60,0,0,0,27,0,0,135,2,48,10000,10414,""183,5"",""54,7"",""9,2"",528,43,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",""303,3KWH"",""118,7KWH"",0KWH,""310,1KWH"",0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,696KWH,2,13/1/2026 12:38:39,"
"120,10000,""54,1"",240,236,0,0,0,0,""5,3"",1233,0,942,12,0,0,998,0,0,0,60,60,0,0,0,26,0,0,302,5,48,10000,10414,""185,3"",""54,7"",""7,2"",398,43,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",""303,3KWH"",""118,8KWH"",0KWH,""310,3KWH"",0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,696KWH,3,13/1/2026 12:43:39,"
"120,10000,""54,2"",240,235,0,0,0,0,""3,2"",791,0,571,7,0,0,667,0,0,0,60,60,0,0,0,26,0,0,102,1,48,10000,10414,""186,3"",""54,7"",""3,2"",178,39,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",""303,3KWH"",""118,8KWH"",0KWH,""310,3KWH"",0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,696KWH,4,13/1/2026 12:48:39,"
"120,10000,""54,1"",239,235,0,0,0,0,""4,7"",1017,0,761,11,0,0,842,0,0,0,60,60,0,0,0,25,0,0,119,2,48,10000,10414,""184,7"",""54,7"",""6,5"",362,37,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",""303,4KWH"",119KWH,0KWH,""310,4KWH"",0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,""696,1KWH"",5,13/1/2026 12:53:39,"
"120,10000,54,240,234,0,0,0,0,""4,4"",982,0,734,10,0,0,821,0,0,0,60,60,0,0,0,25,0,0,108,2,48,10000,10414,""183,8"",""54,7"",""6,6"",368,36,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",""303,4KWH"",119KWH,0KWH,""310,4KWH"",0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,""696,2KWH"",6,13/1/2026 12:58:39,"
"120,10000,""54,1"",238,233,0,0,0,0,""4,7"",1022,0,767,11,0,0,837,0,0,0,60,""59,9"",0,0,0,25,0,0,59,1,48,10000,10414,""183,2"",""54,7"",""7,8"",430,38,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",""303,4KWH"",""119,1KWH"",0KWH,""310,5KWH"",0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,""696,3KWH"",7,13/1/2026 13:03:39,"
"120,10000,""54,2"",239,235,0,0,0,0,""4,2"",964,0,718,10,0,0,793,0,0,0,60,""59,9"",0,0,0,25,0,0,43,0,48,10000,10414,""184,5"",""54,7"",""7,3"",400,38,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",""303,4KWH"",""119,1KWH"",0KWH,""310,5KWH"",0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,""696,3KWH"",8,13/1/2026 13:08:39,"
"120,10000,""54,1"",240,236,0,0,0,0,""4,4"",990,0,739,10,0,0,818,0,0,0,60,""60,1"",0,0,0,25,0,0,64,1,48,10000,10414,""184,3"",""54,7"",7,391,37,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",""303,4KWH"",""119,2KWH"",0KWH,""310,6KWH"",0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,""696,5KWH"",9,13/1/2026 13:13:39,"
"120,10000,""54,1"",240,235,0,0,0,0,""4,4"",973,0,728,10,0,0,818,0,0,0,60,60,0,0,0,25,0,0,81,1,48,10000,10414,""184,1"",""54,7"",""6,9"",386,36,0,48,100,PV3500,-1 -1,1,18.06,1.04.14,OffGrid,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,Disconnect,""580,4KWH"",""303,4KWH"",""119,2KWH"",0KWH,""310,6KWH"",0KWH,0KWH,""104,2KWH"",,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.32,""696,5KWH"",10,13/1/2026 13:18:39,"
